avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
258,product,,0.8137737731,7,,low,0.1465931848,Left,4
165,engineering,,0.5220476968,4,,low,0.8513943795,Employed,2
146,sales,,0.5315772789,2,,low,0.4019538189,Left,3
159,,,0.6941007196,3,,low,0.556401859,Employed,3
198,engineering,,0.749982471,2,,medium,0.5269607252,Left,2
159,marketing,,0.483106968,2,,low,0.4388192697,Left,3
275,product,,0.5735959022,2,,low,0.8946585128,Employed,3
141,support,,0.9324622173,3,,medium,0.8107253216,Employed,3
173,finance,,,4,,low,0.8626833864,Employed,3
203,sales,,0.5861320242,5,,medium,0.7037557887,Employed,2
203,engineering,,0.6060901932,4,,low,0.2741449738,Employed,5
230,sales,,0.8017313355,5,,medium,0.1295826172,Employed,4
168,sales,,0.5891197148,4,,low,0.4759019039,Employed,2
183,IT,,0.7161328456,3,,low,0.7869985083,Employed,3
246,support,,0.3284167152,5,,medium,0.4615533488,Employed,3
209,engineering,,0.7079014569,5,,low,0.8315822395,Employed,3
224,sales,,1,3,,medium,0.5274174634,Employed,6
143,support,,0.5832228237,2,,low,0.4779484902,Left,3
140,sales,,0.9991504124,2,,medium,0.503040551,Employed,2
212,support,,0.7890820211,3,,low,0.7252316762,Employed,4
156,marketing,,0.5025628262,3,,low,0.6355032887,Employed,5
186,IT,,0.8597639573,3,,medium,0.7296675306,Employed,2
162,sales,,0.5022588145,3,,low,0.8004822378,Employed,3
158,support,,0.5435763133,2,,low,0.3525200827,Left,3
156,sales,,,3,,low,0.5490545928,Employed,2
283,IT,,,3,,low,0.5500036519,Employed,3
113,,,0.5117936204,4,,low,0.632133264,Employed,3
214,IT,1,,4,,low,0.9694077866,Employed,2
181,product,1,0.6748938312,3,,medium,0.5479411537,Employed,3
140,support,,0.8013227653,4,,low,0.5267454554,Employed,3
184,engineering,,0.9184500896,4,,low,0.9148826049,Employed,3
168,sales,1,0.38962669,3,,low,0.3940515648,Employed,3
146,engineering,,0.5574372968,2,,medium,0.4711046586,Left,3
251,engineering,,0.871911091,4,,medium,0.6960534707,Employed,2
219,support,,1,5,,low,0.7345794152,Left,5
170,product,,0.5180136841,2,,low,0.3520822856,Employed,3
187,marketing,,0.6803702662,4,,medium,0.1891154715,Employed,5
207,product,,0.4950335146,3,,medium,0.5764059449,Employed,3
165,support,,0.5985306484,5,,low,0.7695363809,Employed,3
241,,,0.7665448209,3,,low,0.8518923271,Employed,3
139,engineering,,,4,,low,0.7718169922,Employed,3
165,support,,0.8384200705,3,,low,0.598248189,Employed,4
167,engineering,,0.6256493733,5,,low,0.4871138499,Employed,2
163,sales,,0.9277176672,4,,medium,0.7924140764,Employed,3
161,,,0.695097614,2,,medium,0.6116886967,Employed,5
271,IT,,0.9693040053,6,,low,0.1720486027,Left,4
310,sales,,0.858179169,7,,medium,0.1471249698,Left,4
257,support,,0.7250188089,4,,low,0.7620304085,Employed,3
278,sales,,0.8622367395,7,,low,0.09798443025,Left,4
229,engineering,,0.6301548275,3,,medium,0.08156374104,Employed,6
186,IT,,0.5601715758,3,,medium,0.7360631892,Employed,3
211,sales,,0.9477290254,4,,high,0.3559797514,Employed,7
248,management,,,4,,high,0.6236263999,Employed,3
231,management,1,,3,,high,0.7453887434,Employed,2
266,sales,,0.8720417032,3,,low,0.6941903177,Employed,5
135,engineering,,0.451192122,2,,low,0.3916518599,Left,3
248,support,,1,5,,medium,0.7006041055,Left,5
161,IT,,0.7257235562,4,,low,0.7857238867,Employed,3
212,product,,0.872785534,3,,medium,0.5318631303,Employed,2
103,,,0.5838703654,3,,low,0.3818243957,Employed,3
160,sales,,0.890712724,3,,low,0.7617650303,Employed,2
268,engineering,,0.797235381,5,,low,0.8514115837,Employed,3
116,sales,1,0.8450783188,4,,low,0.3098686472,Employed,3
150,,,0.5594000392,2,,low,0.4442635769,Left,3
146,IT,,0.5009573064,2,,low,0.4112337491,Left,3
215,IT,,0.4216922161,6,,medium,0.6069467257,Employed,3
194,sales,,0.5343091223,5,,high,0.9691907978,Employed,2
200,product,,0.4251318945,5,,medium,0.5654072936,Employed,4
213,sales,,0.7704638243,3,,high,0.5432621774,Employed,3
163,information_technology,,0.9051805153,3,,low,0.9333132196,Employed,2
148,sales,,0.4730269243,2,,low,0.4434277636,Left,3
245,product,,0.5062012229,2,,medium,0.4549116419,Employed,5
250,support,,0.8730454653,3,,low,0.5534421048,Left,2
250,sales,1,0.8288257637,5,,low,0.8329556956,Employed,2
173,engineering,,0.7259639782,2,,medium,0.4523923978,Employed,2
248,sales,1,0.8969422815,4,,low,0.741786835,Employed,3
158,management,,0.6355457358,5,,medium,0.9562389338,Employed,3
196,support,,0.8402077787,4,,low,0.4689872458,Employed,2
265,procurement,,0.6266531316,3,,low,0.90615931,Employed,8
159,engineering,,0.8681210202,3,,high,0.9612353993,Employed,3
262,sales,,0.9077315489,5,,medium,0.9724230584,Employed,3
175,sales,,0.4036194184,3,,medium,0.2846772958,Employed,3
278,sales,,0.7778811669,7,,low,0.1147246869,Left,4
248,sales,,0.8593838297,5,,low,0.9334863769,Left,5
275,product,,0.52409506,3,,low,0.6317296905,Employed,2
258,support,,0.8661582867,5,,low,0.2931232348,Employed,6
253,engineering,,1,5,,medium,0.8529521259,Left,5
165,support,,0.6434106366,4,,low,0.1615536425,Employed,5
269,support,1,0.7673690699,3,,medium,0.248522035,Employed,4
148,finance,,0.5384784842,2,,medium,0.4675295173,Left,3
156,sales,1,0.9502822378,4,,low,0.6720600631,Employed,2
274,sales,1,0.8115004207,4,,low,0.8390588138,Employed,2
196,support,1,1,3,,low,0.7055853587,Employed,6
146,engineering,1,0.3589959784,3,,low,0.6231064825,Employed,4
274,sales,,0.4899048112,2,,low,0.6668940218,Left,4
139,marketing,,0.5197769826,2,,low,0.3724634099,Left,3
132,product,,0.4371427155,4,,high,0.6312002898,Employed,3
231,IT,1,0.6155106313,5,,medium,0.2370305598,Employed,4
254,sales,,0.5470343743,4,,low,0.5054219123,Left,4
189,admin,,0.5394672714,4,,low,0.8314443864,Employed,4
104,support,,0.7891253513,5,,low,0.7803371759,Employed,4
254,marketing,,0.8708564232,4,,low,0.8297456305,Left,5
253,sales,,0.5573547374,5,,medium,0.7296506055,Employed,6
170,sales,,0.6614890348,2,,low,0.4869001047,Employed,8
195,sales,,0.6909413384,3,,medium,0.8721229285,Employed,3
255,management,,0.560749082,5,,medium,0.7927038768,Employed,4
194,engineering,,0.8649809479,4,,medium,0.5473427714,Employed,2
260,IT,,0.8791141078,5,,low,0.7893468812,Left,5
212,finance,1,0.4200182853,4,,low,0.3715347236,Employed,2
219,marketing,,,5,,medium,0.9338510709,Employed,2
187,management,,0.960285715,4,,high,0.6814133027,Employed,3
252,,,0.7789527069,4,,medium,0.7705464679,Employed,6
281,sales,,0.5319367589,4,,medium,0.190744826,Employed,7
163,IT,,0.6159380741,4,,low,0.9473938753,Employed,5
155,engineering,,0.8976098389,3,,medium,0.94614471,Employed,3
208,management,,0.6028075802,4,1,high,0.894854283,Employed,7
280,sales,,0.948757982,6,,low,0.1521927226,Left,4
137,sales,,0.874794039,3,,low,1,Employed,3
242,information_technology,,0.9314667166,4,,medium,0.63575761,Employed,2
229,sales,,0.6679889958,2,,low,0.8937465281,Employed,4
269,sales,,0.8743204605,6,,low,0.04130171224,Left,4
173,,,0.7233648728,5,,low,0.5342181452,Employed,2
153,support,,0.5884300381,5,,low,0.546394858,Left,4
282,,,0.9812904941,6,,medium,0.06358925823,Left,4
233,support,,0.5433018567,4,,low,0.5810449028,Employed,4
275,support,,0.396084595,3,,low,0.2189146166,Employed,5
179,support,,0.5685934367,3,,low,0.7161635045,Employed,4
195,engineering,,0.8362479055,5,,low,0.7833914467,Employed,4
206,marketing,,0.5820628938,2,,low,0.7847315074,Employed,2
239,product,,0.9193735913,4,,low,0.8298718723,Left,5
208,IT,1,0.8166898139,4,,low,0.8343786753,Employed,3
150,engineering,,0.6762258444,3,,medium,0.2929295721,Employed,2
219,engineering,,,4,,low,0.8738126953,Employed,3
172,sales,,,5,,low,0.326353372,Left,2
201,finance,,0.7256709052,3,,medium,0.7502317842,Employed,4
222,sales,,0.9648475789,5,1,medium,0.8898269772,Employed,3
228,sales,,1,2,,low,0.2481749944,Employed,3
198,,,0.9541910464,2,,low,0.5838544091,Employed,2
146,marketing,,0.5055583083,2,,low,0.4203273955,Left,3
219,support,,0.8857658499,6,,low,0.2947417302,Left,5
257,engineering,,0.8313224164,5,,medium,0.9952780066,Employed,4
124,sales,,0.6401188049,3,,medium,0.6387388561,Employed,3
208,,,0.8835952185,4,,medium,0.9256681879,Employed,2
129,support,,0.4026603721,2,,medium,0.4373594734,Left,3
259,product,,0.8093022699,3,,high,0.4638286739,Employed,2
142,support,,0.5551120826,3,,low,0.682987766,Employed,3
238,,,0.926769785,3,,low,0.8751678752,Employed,2
239,sales,,0.9158813889,4,,low,0.8821381383,Left,5
152,support,,0.6198230182,2,,low,0.5247617127,Left,3
248,sales,,0.6722345908,3,,medium,0.7187427471,Employed,4
111,sales,,0.9833017051,4,,high,0.8348317951,Employed,2
180,sales,,0.5578276291,4,,high,0.9468730686,Employed,5
221,support,,0.8851060655,5,,medium,0.7943403936,Left,6
237,support,,0.4438845812,2,,low,0.530736921,Employed,2
213,sales,,0.7008355095,4,,low,0.7769220126,Employed,3
160,sales,,0.5018796637,2,,low,0.4974019779,Left,3
255,sales,,0.6687903934,4,,medium,0.9118235009,Employed,2
288,support,,0.9574954826,6,,medium,0.06848838016,Left,4
258,management,,0.7818286441,4,,high,0.7037459341,Employed,3
199,sales,,0.8113357503,4,,low,0.737229323,Employed,2
256,support,,0.4077785387,3,,medium,0.6332551058,Employed,6
305,finance,,0.8456054265,6,,medium,0.1028824698,Left,4
185,support,,0.9214362021,5,,low,0.5677653223,Employed,2
185,IT,,0.6627686181,4,,medium,0.5739978617,Employed,2
211,information_technology,,0.6065939883,3,,low,0.579431608,Employed,3
283,engineering,1,0.8343318859,6,,low,0.1278974651,Left,4
138,engineering,,0.8563437233,5,,low,0.6233895677,Employed,3
143,support,,0.7727856555,4,,medium,0.8297613414,Employed,3
134,sales,,,3,,medium,0.4519612895,Employed,3
234,marketing,,,3,,medium,0.7293273438,Employed,2
258,engineering,,0.9357806773,4,,medium,0.964425982,Left,5
166,sales,,0.5754570563,3,,medium,0.9215570363,Employed,3
260,IT,,0.8123039982,6,,medium,0.04484410864,Left,4
176,sales,,0.4302145009,4,,low,0.3191758909,Employed,2
153,product,,0.4704669227,2,,low,0.4086407138,Left,3
154,marketing,,0.5473203815,2,,low,0.3412061581,Left,3
291,engineering,,0.9378307491,5,,low,0.1521437513,Left,4
273,marketing,1,0.6549881472,6,,medium,0.7433380943,Employed,4
140,engineering,,0.6087385727,4,,high,0.557744024,Employed,3
240,IT,,0.8969672792,5,,medium,0.9387033136,Left,5
236,sales,,0.5878499564,4,,low,0.7947863083,Employed,4
242,management,,0.9180228589,4,,medium,0.6610077883,Employed,2
171,admin,,0.7228394864,4,,medium,0.9105983819,Employed,4
150,support,,0.8745131921,4,,high,0.4807530702,Employed,2
152,product,,0.4397852514,2,,low,0.3407779892,Left,3
182,engineering,,0.7471058431,3,,low,0.8553621854,Left,4
133,engineering,,0.8098907618,4,1,medium,0.7476996517,Employed,3
230,sales,1,0.68394074,3,,medium,0.5875273834,Employed,3
251,sales,,0.5232321096,3,,low,0.5290790062,Employed,2
225,sales,,0.688970082,5,,medium,0.6916583024,Employed,7
164,engineering,,0.9143242823,5,,low,0.6790919757,Employed,3
81,temp,,,1,,low,,Employed,
211,sales,,0.8819512546,3,,medium,0.807293307,Employed,3
162,sales,,0.7975513766,3,,medium,0.8096743884,Employed,3
242,,1,0.7757164087,4,,medium,0.8702380743,Employed,3
132,engineering,,0.6264253781,4,,medium,0.5674304258,Employed,4
149,sales,,0.4920480665,2,,low,0.4003850787,Left,3
251,engineering,,0.7354763226,6,,low,0.8376651552,Employed,4
158,IT,,0.5463332378,2,,low,0.3914868538,Left,3
228,,,0.9372021801,4,,low,0.745604096,Left,5
229,support,,0.6693695324,6,,medium,0.5132895798,Employed,3
272,engineering,,0.7826241316,6,,low,0.05679646168,Left,4
195,engineering,1,0.9469320496,4,,medium,0.4691748804,Employed,3
241,,,0.483043891,3,,medium,0.6546858191,Employed,3
305,engineering,,0.9325777112,6,,low,0.1492547709,Left,4
232,sales,,0.7156951369,4,,medium,0.7971993385,Employed,3
241,engineering,,0.6957684633,4,,high,0.874733519,Employed,3
183,management,,0.5588285477,2,,medium,0.3223138971,Employed,2
135,information_technology,,0.7558503619,4,1,medium,0.8022988363,Employed,3
193,admin,,,3,,medium,1,Employed,3
120,finance,1,0.4652320476,3,,medium,0.5606164695,Employed,6
145,support,,0.4601421873,2,,low,0.3947194583,Left,3
126,sales,,0.9348565748,5,,medium,0.6284270047,Employed,5
243,support,,1,5,,medium,0.7633187373,Left,5
252,IT,,0.927306096,4,,low,0.5492528512,Employed,4
159,,,0.4702593725,2,,high,0.4555633155,Left,3
171,support,,0.5925676118,3,,medium,0.5843252751,Employed,3
223,sales,,0.8729455479,3,,high,0.6791671968,Employed,7
201,support,1,0.8104564468,4,,low,0.84832278,Employed,2
261,IT,,0.7871462656,4,,medium,0.8652719598,Employed,2
298,IT,,0.8552776039,5,,low,0.1415364315,Left,4
161,management,,0.5421748312,4,1,medium,0.6733970277,Employed,7
134,procurement,,0.6972512154,5,,medium,0.720455911,Employed,3
103,product,,0.9189053102,5,,low,0.7278181159,Employed,5
227,engineering,,0.8875579213,3,,low,0.5375633019,Employed,2
127,sales,,0.5877629874,2,,low,0.4299982073,Left,3
204,engineering,,0.5082729468,4,,high,0.5765949742,Employed,3
145,finance,,0.8097482923,6,,medium,0.7085008105,Employed,3
243,engineering,,0.9782479374,5,,medium,0.5915588629,Employed,2
186,IT,,0.4825289336,3,,medium,0.7289368415,Employed,3
71,temp,,,2,,low,,Employed,
185,sales,1,0.8205443096,6,,high,1,Employed,4
270,,,0.8815067985,3,,medium,0.6839041512,Employed,6
267,management,,0.8043829985,3,,high,0.4641757722,Employed,2
225,finance,,0.4843292066,5,,high,0.8423988474,Employed,2
170,IT,,0.324238731,3,,low,0.7047816417,Employed,6
115,sales,,0.6673186266,2,,high,0.4543416663,Employed,3
154,IT,,0.6194742286,2,,low,0.4384501953,Left,3
173,engineering,1,0.535500741,4,,low,0.8243155643,Employed,2
226,support,,0.6481066998,5,,medium,0.1935058963,Employed,3
229,sales,,0.7600909214,4,,low,0.5220142175,Employed,3
134,IT,,0.7747888093,4,,low,0.5531705859,Employed,2
240,support,,1,5,,low,0.8492929647,Left,5
191,engineering,,0.6177688359,4,,low,0.9252288595,Employed,2
271,sales,,0.9459088522,5,,low,0.8469590309,Left,5
269,finance,,0.9312316422,7,,medium,0.1410916639,Left,4
139,engineering,,0.536879417,2,,low,0.5082764295,Left,3
271,finance,,0.8788553576,3,,medium,0.7794467734,Employed,2
145,support,1,0.8491287103,3,,medium,0.8707895815,Employed,3
304,engineering,,0.7886495136,6,,medium,0.0559878636,Left,5
135,support,,0.8201261567,5,,low,0.7434883966,Employed,2
246,IT,,0.8386462966,4,,high,0.4938568594,Employed,3
267,sales,,0.9178100919,6,,medium,0.5510032824,Employed,4
177,engineering,,1,3,,medium,0.812509061,Employed,2
254,support,,0.6005155464,3,,high,0.8769482216,Employed,2
155,sales,,,2,,low,0.1750415894,Employed,3
147,marketing,,0.4735792612,2,,low,0.3864214506,Left,3
244,IT,,0.6732563528,4,,medium,0.6633794669,Employed,2
250,sales,1,,5,,medium,0.7596850402,Employed,3
180,engineering,,0.9338651411,5,,high,0.6403988161,Employed,2
251,engineering,,1,4,,low,0.9254488599,Left,6
134,,,0.7307511785,3,,low,0.9049475097,Employed,3
271,sales,,0.9817184324,3,,low,0.8284954205,Employed,3
198,engineering,,0.3692450072,2,,medium,0.2821340772,Employed,4
135,marketing,1,0.9802760267,5,,low,0.7344459913,Employed,4
203,engineering,,0.8210402103,5,,low,0.9381343507,Employed,3
287,IT,,0.4974246021,3,,low,0.5342081888,Employed,5
238,engineering,,0.6871632812,3,,medium,0.8203444661,Employed,2
160,support,,0.6517458643,3,,medium,0.7806681199,Employed,3
192,sales,,0.6135368109,2,,low,0.8123565861,Employed,2
258,product,,,3,,medium,0.6920471823,Employed,3
240,IT,,0.7516134747,5,,medium,0.7519483718,Employed,4
178,,,0.7083597227,3,,medium,0.7540213711,Employed,2
221,sales,,1,5,,medium,0.9289149767,Left,6
138,sales,1,0.4931116937,3,,low,0.6442232358,Employed,2
188,sales,,0.8161587885,2,,low,0.9054105853,Employed,2
289,support,,0.9356012445,6,,medium,0.177665058,Left,5
197,sales,,0.9513717295,4,,medium,0.9418844972,Employed,3
231,sales,,0.8897754265,4,,low,0.1942895845,Employed,5
153,sales,1,0.5012096578,2,,low,0.4441700095,Left,3
128,sales,,0.4786509447,2,,medium,0.4983476414,Left,3
149,admin,,0.5054045393,2,,low,0.4518319549,Left,3
185,sales,,,3,,low,0.5680789774,Employed,2
229,engineering,,0.5857668597,5,,medium,0.7310817179,Employed,3
175,,,0.7810384732,4,,medium,0.5287561796,Employed,2
128,engineering,,0.5425529177,2,,low,0.4148877242,Left,3
241,sales,,0.7596782311,5,,high,0.5959207161,Employed,3
101,temp,,,1,,medium,,Employed,
247,engineering,,0.8434204229,4,,low,0.8131219794,Left,6
269,support,,0.7661073187,3,,medium,0.7888123763,Employed,2
229,sales,,0.4119794871,5,,low,0.1107440494,Employed,4
188,engineering,,0.5473150721,3,,high,0.521734232,Employed,3
212,sales,,0.9711870644,4,,low,0.8088037701,Employed,2
252,support,,,3,,medium,0.7837149777,Employed,3
222,sales,,,5,,low,0.9472664811,Employed,2
270,sales,,0.9924045494,5,,low,0.8818723076,Left,5
183,marketing,,0.5488524843,4,,low,0.6441698891,Employed,3
163,marketing,,0.6309240872,5,,medium,0.6218232133,Employed,4
207,sales,,0.5242605249,4,,low,0.2073669454,Employed,5
234,sales,1,0.6792221784,3,,high,0.697381605,Employed,3
121,sales,,0.6760537474,3,,low,0.3513285144,Employed,2
131,engineering,1,0.7987326397,3,,low,0.2708269726,Employed,5
160,sales,,0.5089317759,2,,low,0.407259341,Left,3
207,engineering,,0.9715178741,3,,low,0.6203972876,Employed,10
224,engineering,,1,4,,medium,0.833914798,Left,5
132,procurement,,0.4855574193,2,,low,0.4457887741,Left,3
139,sales,,1,5,,medium,0.6063151294,Employed,2
192,engineering,1,0.5571270939,5,,low,0.8338120037,Employed,3
167,IT,1,0.7864093736,4,,medium,0.9565168332,Employed,3
265,finance,,0.477688572,3,,low,0.5489083189,Employed,3
259,product,,0.9729402324,5,,low,0.7806621766,Left,6
194,engineering,,0.7414815162,5,,low,0.7593520642,Employed,4
207,marketing,,0.5995133177,3,,medium,0.693813142,Employed,3
262,engineering,1,0.8859696198,6,,low,0.06729925519,Left,5
134,,,0.5557182587,2,,low,0.5110411698,Left,3
181,product,1,0.6749860557,3,,medium,0.5113952246,Employed,3
134,support,,0.9739044559,4,,medium,0.612973587,Employed,3
129,IT,,,2,,low,0.3479645648,Left,3
220,engineering,,1,5,,low,0.7385924554,Left,5
156,support,1,0.6206266135,3,,low,0.6877388624,Employed,6
211,support,,0.9265028293,3,,medium,0.7653251924,Employed,3
136,sales,,0.9409616807,5,,low,0.9546772528,Employed,4
132,engineering,,0.5202955335,2,,medium,0.3745310386,Left,3
268,finance,1,0.8869702341,6,,medium,0.410271278,Employed,4
156,sales,,0.7343747567,3,,medium,0.9622083338,Employed,3
272,sales,,0.9560146451,5,,low,0.839977629,Left,5
265,admin,,,4,,low,0.5092720712,Employed,3
154,finance,,0.4628498784,2,,medium,0.4355227513,Left,3
230,management,,0.7573608701,5,,high,0.6691761808,Employed,10
186,support,1,0.7650951633,5,,medium,0.2964122326,Employed,4
129,support,,,2,,medium,0.4417194071,Left,3
155,sales,,,2,,low,0.4454111967,Left,3
136,,,0.5175395408,2,,medium,0.4232785383,Left,3
129,support,,0.6654892135,6,,low,0.4401234244,Employed,5
147,management,1,0.6124439643,2,,low,0.4894556753,Left,3
159,sales,,0.5630079695,2,,low,0.4335558678,Left,3
161,IT,,0.6690163185,4,,medium,0.5592367883,Employed,2
163,engineering,,0.5454440248,6,,low,0.6551964222,Employed,6
140,,,0.6912309811,5,,medium,0.7005839732,Employed,3
137,information_technology,,0.5432172885,2,,medium,0.4420704743,Left,3
204,marketing,,,3,,medium,0.5644132135,Employed,2
257,marketing,,,3,,low,0.8548745251,Employed,2
178,sales,,0.5552182789,2,,low,0.3270271984,Employed,3
239,support,,0.9164964421,5,,low,0.913425235,Employed,3
186,management,,0.8847722695,4,1,medium,0.5264876528,Employed,7
267,support,,0.8287812024,5,,low,0.7898162332,Left,5
148,admin,,0.7773139039,4,,medium,0.8142062375,Employed,3
264,finance,,0.976640448,5,1,high,0.5600925577,Employed,8
139,support,,0.592461611,6,,high,0.1985446363,Left,4
151,engineering,,0.7524739547,2,,low,0.3586881439,Left,4
198,engineering,,0.437324937,2,,medium,0.3279549659,Employed,4
263,support,1,0.937910551,4,,medium,0.9327982964,Employed,3
272,sales,,0.7369190647,5,,low,0.2997935047,Employed,2
265,IT,,0.7324535245,3,,medium,0.5560605189,Employed,3
220,sales,,0.7856684085,3,,low,0.7049244002,Employed,3
250,marketing,,0.9223908113,6,,medium,0.815233738,Employed,2
140,support,,0.4636153173,2,,low,0.3907426935,Left,3
209,support,1,0.6573075544,3,,low,0.9589349777,Employed,2
217,support,,0.8173893443,4,,medium,0.7453023452,Left,6
186,sales,,0.6174044167,4,,medium,0.7120368192,Employed,2
263,marketing,,0.8304483513,3,,medium,0.3456519986,Employed,3
172,sales,,0.925526352,5,,low,0.2941510654,Left,2
233,support,,0.8372296952,5,,low,0.6295261564,Employed,3
204,finance,,0.8128522281,3,,medium,0.608494054,Employed,10
203,finance,,0.8726230132,3,,high,0.8899265176,Employed,3
198,management,,0.6723372122,4,,medium,0.5408631815,Employed,2
266,sales,,0.8592754507,4,,high,0.731532981,Employed,3
252,engineering,1,0.579733714,4,,medium,0.7289602841,Employed,2
141,sales,1,0.5007632979,2,,low,0.4233812422,Left,3
161,IT,,0.9512727155,5,,medium,0.2526601949,Employed,5
214,,,0.7739912164,3,,medium,0.6395864246,Employed,3
118,support,,0.4803481347,5,,low,0.8800594766,Employed,3
264,engineering,,0.5348470597,5,,medium,0.8341784853,Employed,3
130,engineering,,0.4594862234,2,,low,0.3889362494,Left,3
241,engineering,1,0.7668310419,4,,low,0.5503383507,Employed,3
185,finance,,0.9388222364,3,,medium,0.7103539289,Employed,4
231,marketing,,0.9018773257,5,,medium,0.9938276884,Employed,2
245,engineering,,0.8742388152,5,,low,0.4816297513,Employed,2
218,support,,0.5766832329,3,,medium,0.7849487487,Employed,2
277,IT,,1,2,,medium,0.7553698255,Left,3
119,temp,,,2,,medium,,Left,
182,sales,,0.8772071152,3,,low,1,Employed,4
158,sales,,0.617175992,2,,low,0.3939894794,Left,3
135,,,0.5622805166,3,,medium,0.7973405922,Employed,3
269,engineering,,0.8255297834,4,,medium,0.5680726593,Employed,2
212,support,,0.756099669,4,,low,0.9094455274,Employed,3
166,finance,,0.6771021076,3,,medium,0.991939161,Employed,2
252,sales,,0.6769558432,2,,low,0.8955070094,Employed,2
175,engineering,,0.7140063637,4,,low,0.6852645006,Employed,4
224,sales,,0.7496719698,4,,low,0.8016035215,Employed,3
141,engineering,,0.6330441292,2,,medium,0.6522886251,Employed,3
150,finance,,0.8584723908,4,,medium,0.7040178204,Employed,2
226,sales,,0.7795390082,3,,medium,0.692763621,Employed,4
156,sales,,0.5229035118,4,,high,0.8881194519,Employed,4
157,engineering,,0.881788167,4,,medium,0.985182807,Employed,3
135,temp,,,2,,low,,Employed,
280,information_technology,,0.8414454932,5,,low,0.2197699387,Employed,4
240,sales,,0.5083205857,5,,medium,0.707250235,Employed,2
225,sales,,0.9539448169,5,,high,0.8818127284,Employed,4
